"Date","Price","Open","High","Low","Vol.","Change %"
"07/15/2025","0.4013","0.3876","0.4018","0.3760","27.56M","3.33%"
"07/14/2025","0.3884","0.3877","0.4040","0.3817","21.41M","-0.08%"
"07/13/2025","0.3887","0.3773","0.3960","0.3753","19.16M","2.93%"
"07/12/2025","0.3776","0.3752","0.3882","0.3683","26.60M","0.68%"
"07/11/2025","0.3751","0.3718","0.3887","0.3665","38.52M","0.87%"
"07/10/2025","0.3719","0.3518","0.3738","0.3485","23.92M","6.06%"
"07/09/2025","0.3506","0.3336","0.3532","0.3305","18.21M","5.34%"
"07/08/2025","0.3329","0.3260","0.3351","0.3225","11.29M","2.07%"
"07/07/2025","0.3261","0.3264","0.3310","0.3230","13.35M","-0.15%"
"07/06/2025","0.3266","0.3227","0.3331","0.3199","10.40M","1.21%"
"07/05/2025","0.3227","0.3230","0.3257","0.3168","9.24M","-0.22%"
"07/04/2025","0.3234","0.3399","0.3407","0.3209","14.98M","-4.70%"
"07/03/2025","0.3393","0.3405","0.3460","0.3354","17.24M","-0.20%"
"07/02/2025","0.3400","0.3155","0.3447","0.3126","19.95M","7.75%"
"07/01/2025","0.3155","0.3276","0.3292","0.3142","15.14M","-3.71%"
"06/30/2025","0.3277","0.3381","0.3396","0.3257","15.51M","-2.93%"
"06/29/2025","0.3376","0.3277","0.3398","0.3237","11.27M","2.99%"
"06/28/2025","0.3278","0.3225","0.3282","0.3189","6.17M","1.89%"
"06/27/2025","0.3217","0.3178","0.3243","0.3145","10.66M","1.31%"
"06/26/2025","0.3175","0.3249","0.3327","0.3168","15.69M","-2.38%"
"06/25/2025","0.3253","0.3305","0.3312","0.3233","12.20M","-1.31%"
"06/24/2025","0.3296","0.3311","0.3348","0.3264","19.33M","-0.12%"
"06/23/2025","0.3300","0.3030","0.3306","0.3014","29.05M","8.80%"
"06/22/2025","0.3033","0.3218","0.3238","0.2898","46.44M","-5.51%"
"06/21/2025","0.3210","0.3341","0.3384","0.3148","20.20M","-4.00%"
"06/20/2025","0.3344","0.3431","0.3504","0.3284","23.25M","-2.52%"
"06/19/2025","0.3430","0.3458","0.3485","0.3384","9.75M","-0.71%"
"06/18/2025","0.3455","0.3447","0.3488","0.3362","22.07M","0.22%"
"06/17/2025","0.3447","0.3496","0.3572","0.3386","24.02M","-1.86%"
"06/16/2025","0.3513","0.3511","0.3652","0.3475","17.46M","0.00%"
"06/15/2025","0.3513","0.3514","0.3553","0.3454","11.53M","-0.06%"
"06/14/2025","0.3515","0.3518","0.3551","0.3458","11.72M","-0.11%"
"06/13/2025","0.3518","0.3609","0.3609","0.3390","28.87M","-2.71%"
"06/12/2025","0.3616","0.3807","0.3813","0.3590","15.08M","-5.20%"
"06/11/2025","0.3814","0.3996","0.3998","0.3782","19.63M","-4.53%"
"06/10/2025","0.3996","0.3823","0.3997","0.3768","19.88M","4.81%"
"06/09/2025","0.3812","0.3639","0.3864","0.3561","12.91M","4.80%"
